Column Title,Mean,Standard Deviation
LogS,-2.1683229166666664,0.8450113732625038
LogD,0.1050729166666667,1.0853981102734092
LogP,0.57740625,1.544777453419134
Pgp-inh,0.05671874999999999,0.21003637294651206
Pgp-sub,0.5067395833333334,0.41651555211481456
HIA,0.6112604166666666,0.44553381925604385
F(20),0.6064583333333333,0.4488121144032185
F(30),0.6202291666666666,0.4526428004779943
Caco-2,-6.034645833333333,0.4054171595352299
MDCK,7.9760102390625e-05,0.000319771512115831
BBB,0.09050000000000001,0.14940717942307152
PPB,54.334062499999995,25.827481878117226
VDss,0.29469791666666667,0.15744807797738253
Fu,44.36416666666667,25.59710154918518
CYP1A2-inh,0.024989583333333332,0.06530567715978638
CYP1A2-sub,0.18046874999999998,0.25168539062739254
CYP2C19-inh,0.10803125000000001,0.14083117575945134
CYP2C19-sub,0.12094791666666667,0.15680926193051536
CYP2C9-inh,0.08095833333333334,0.12002060495612864
CYP2C9-sub,0.4489791666666667,0.31060796001480934
CYP2D6-inh,0.07801041666666668,0.11455272238642063
CYP2D6-sub,0.09539583333333335,0.03565491895396812
CYP3A4-inh,0.09214583333333333,0.21757641025222751
CYP3A4-sub,0.2761875,0.25818847919586513
CL,2.47565625,1.5639118620213395
T12,0.7929895833333335,0.19796355298742116
hERG,0.0155625,0.01627126139450845
H-HT,0.4521770833333334,0.37328256532359155
DILI,0.9357083333333334,0.16719291830046082
Ames,0.030093750000000002,0.10117812100969573
ROA,0.07035416666666668,0.10521476574048226
FDAMDD,0.07704166666666666,0.21874339288267558
SkinSen,0.47211458333333334,0.25724822621419735
Carcinogenicity,0.23988541666666663,0.2676103164478123
EC,0.0030208333333333324,0.00014357588616379597
EI,0.011020833333333334,0.010369976061147488
Respiratory,0.3999270833333333,0.3859912528267602
BCF,0.10486458333333333,0.23817859817202927
IGC50,2.8725520833333333,0.5574147632700479
LC50,3.7912500000000002,0.6120305461933123
LC50DM,4.4541875,0.645747878330561
NR-AR,0.02752083333333333,0.08477375204087477
NR-AR-LBD,0.04138541666666667,0.08005936873302102
NR-AhR,0.07053125,0.10562943699805616
NR-Aromatase,0.053375,0.13222096736344927
NR-ER,0.14627083333333335,0.09758747537915505
NR-ER-LBD,0.009302083333333334,0.010071449790233429
NR-PPAR-gamma,0.14256249999999998,0.23191118138768468
SR-ARE,0.4523229166666667,0.2734216136989161
SR-ATAD5,0.007510416666666668,0.013016584394465607
SR-HSE,0.07813541666666667,0.1691209856436738
SR-MMP,0.07311458333333333,0.08892514531502463
SR-p53,0.1406770833333333,0.2109302451319002
MW,443.7116666666666,96.76467229060806
Vol,396.51585416666666,80.40600827471317
Dense,1.11703125,0.05844177545575641
nHA,10.1875,3.149979114383559
nHD,3.3229166666666665,1.5251905259182792
TPSA,146.776875,45.09149293818887
nRot,7.427083333333333,2.5618446958420478
nRing,3.4895833333333335,0.8077882951767508
MaxRing,7.541666666666667,0.8197132575244855
nHet,11.989583333333334,3.7710665576804847
nRig,21.072916666666668,4.84332376449472
Flex,0.3564479166666666,0.11597675536540812
nStereo,3.1145833333333335,1.0550110168211682
NonBiodegradable,0.3645833333333333,0.5825495988220396
NonGenotoxic_Carcinogenicity,0.041666666666666664,0.2008752777048049
SureChEMBL,0.625,1.1720427511513032
LD50_oral,0.041666666666666664,0.2871517723275919
Skin_Sensitization,3.75,1.305857250198021
Acute_Aquatic_Toxicity,1.0208333333333333,1.1048140273764264
Toxicophores,3.1458333333333335,1.3609529684952895
Genotoxic_Carcinogenicity_Mutagenicity,0.22916666666666666,0.6237267732904354
QED,0.4013333333333334,0.2165255140753949
Synth,4.154697916666667,0.5662721703765623
Fsp3,0.42978125,0.13404729747565342
MCE-18,76.70988541666667,18.745113593663923
Natural Product-likeness,-0.02233333333333333,0.5618463859486049
Alarm_NMR,3.25,1.0052493799000692
BMS,1.1979166666666667,0.42599213401847463
Chelating,0.010416666666666666,0.10206207261596574
PAINS,0.020833333333333332,0.14357588616379596
Lipinski,0.7291666666666666,0.4467229605793416
Pfizer,0.9895833333333334,0.10206207261596575
GSK,0.3541666666666667,0.48077058029500197
GoldenTriangle,0.7291666666666666,0.4467229605793415
